director,link,director_url,location,gender
Nikolaus Geyrhalter,https://www.imdb.com/search/name/?name=Nikolaus%20Geyrhalter,/name/nm0315430/?ref_=sr_t_1,,Male
Nina Paley,https://www.imdb.com/search/name/?name=Nina%20Paley,/name/nm1315434/?ref_=sr_t_1,"Champaign, Illinois, USA",Female
Noah Baumbach,https://www.imdb.com/search/name/?name=Noah%20Baumbach,/name/nm0000876/?ref_=sr_t_1,"Brooklyn, New York City, New York, USA",Male
Norbert Pfaffenbichler,https://www.imdb.com/search/name/?name=Norbert%20Pfaffenbichler,/name/nm1114961/?ref_=sr_t_1,,Unknown
Nouri Bouzid,https://www.imdb.com/search/name/?name=Nouri%20Bouzid,/name/nm0100525/?ref_=sr_t_1,"Sfax, Tunisia",Male
Nuri Bilge Ceylan,https://www.imdb.com/search/name/?name=Nuri%20Bilge%20Ceylan,/name/nm0149196/?ref_=sr_t_1,"Istanbul, Turkey",Male
Oliver Schmitz,https://www.imdb.com/search/name/?name=Oliver%20Schmitz,/name/nm0005628/?ref_=sr_t_1,"Cape Town, South Africa",Male
Olivier Assayas,https://www.imdb.com/search/name/?name=Olivier%20Assayas,/name/nm0000801/?ref_=sr_t_1,"Paris, France",Male
Ossama Mohammed,https://www.imdb.com/search/name/?name=Ossama%20Mohammed,/name/nm0611256/?ref_=sr_t_1,"Lattakia, Syria",Male
Ousmane Sembène,https://www.imdb.com/search/name/?name=Ousmane%20Sembène,/name/nm0783733/?ref_=sr_t_1,"Ziguenchor, Casamance, Senegal",Male
Pablo Berger,https://www.imdb.com/search/name/?name=Pablo%20Berger,/name/nm0074311/?ref_=sr_t_1,,Male
Pablo Larraín,https://www.imdb.com/search/name/?name=Pablo%20Larraín,/name/nm1883257/?ref_=sr_t_1,"Santiago de Chile, Metropolitan Region, Chile",Male
Pacho Velez,https://www.imdb.com/search/name/?name=Pacho%20Velez,/name/nm1381945/?ref_=sr_t_1,,Unknown
Paolo Benvenuti,https://www.imdb.com/search/name/?name=Paolo%20Benvenuti,/name/nm2379049/?ref_=sr_t_1,,Unknown
Paolo Sorrentino,https://www.imdb.com/search/name/?name=Paolo%20Sorrentino,/name/nm0815204/?ref_=sr_t_1,"Naples, Campania, Italy",Male
Park Chan-wook,https://www.imdb.com/search/name/?name=Park%20Chan-wook,/name/nm0661791/?ref_=sr_t_1,"Seoul, South Korea",Male
Patricio Guzmán,https://www.imdb.com/search/name/?name=Patricio%20Guzmán,/name/nm0350099/?ref_=sr_t_1,"Santiago, Chile",Male
Patrick Wang,https://www.imdb.com/search/name/?name=Patrick%20Wang,/name/nm1169526/?ref_=sr_t_1,,Unknown
Patty Jenkins,https://www.imdb.com/search/name/?name=Patty%20Jenkins,/name/nm0420941/?ref_=sr_t_1,"George Air Force Base, Victorville, California, USA",Female
Paul Feig,https://www.imdb.com/search/name/?name=Paul%20Feig,/name/nm0082450/?ref_=sr_t_1,"Mount Clemens, Michigan, USA",Male
Paul Greengrass,https://www.imdb.com/search/name/?name=Paul%20Greengrass,/name/nm0339030/?ref_=sr_t_1,"Cheam, Surrey, England, UK",Male
Paul Thomas Anderson,https://www.imdb.com/search/name/?name=Paul%20Thomas%20Anderson,/name/nm0000759/?ref_=sr_t_1,"Studio City, California, USA",Male
Paweł Pawlikowski,https://www.imdb.com/search/name/?name=Paweł%20Pawlikowski,/name/nm0667734/?ref_=sr_t_1,"Warsaw, Mazowieckie, Poland",Unknown
Pedro Almodóvar,https://www.imdb.com/search/name/?name=Pedro%20Almodóvar,/name/nm0000264/?ref_=sr_t_1,"Calzada de Calatrava, Ciudad Real, Castilla-La Mancha, Spain",Unknown
Pedro Costa,https://www.imdb.com/search/name/?name=Pedro%20Costa,/name/nm0182276/?ref_=sr_t_1,"Lisbon, Portugal",Male
Pete Docter,https://www.imdb.com/search/name/?name=Pete%20Docter,/name/nm0230032/?ref_=sr_t_1,"Bloomington, Minnesota, USA",Male
Peter Jackson,https://www.imdb.com/search/name/?name=Peter%20Jackson,/name/nm0001392/?ref_=sr_t_1,"Pukerua Bay, North Island, New Zealand",Male
Peter Mullan,https://www.imdb.com/search/name/?name=Peter%20Mullan,/name/nm0611932/?ref_=sr_t_1,"Peterhead, Scotland, UK",Male
Peter Tscherkassky,https://www.imdb.com/search/name/?name=Peter%20Tscherkassky,/name/nm0874787/?ref_=sr_t_1,"Vienna, Austria",Unknown
Peter Watkins,https://www.imdb.com/search/name/?name=Peter%20Watkins,/name/nm0914386/?ref_=sr_t_1,"Norbiton, Surrey, England, UK",Male
Peter Weir,https://www.imdb.com/search/name/?name=Peter%20Weir,/name/nm0001837/?ref_=sr_t_1,"Sydney, New South Wales, Australia",Male
Phil Solomon,https://www.imdb.com/search/name/?name=Phil%20Solomon,/name/nm0994047/?ref_=sr_t_1,,Unknown
Philip Gröning,https://www.imdb.com/search/name/?name=Philip%20Gröning,/name/nm0344973/?ref_=sr_t_1,"Düsseldorf, West Germany",Male
Philip Kaufman,https://www.imdb.com/search/name/?name=Philip%20Kaufman,/name/nm0442241/?ref_=sr_t_1,"Chicago, Illinois, USA",Male
Philippe Garrel,https://www.imdb.com/search/name/?name=Philippe%20Garrel,/name/nm0308042/?ref_=sr_t_1,"Paris, France",Male
Philippe Grandrieux,https://www.imdb.com/search/name/?name=Philippe%20Grandrieux,/name/nm0334930/?ref_=sr_t_1,"Saint-Étienne, Loire, Rhône-Alpes, France",Male
Pietro Marcello,https://www.imdb.com/search/name/?name=Pietro%20Marcello,/name/nm2754122/?ref_=sr_t_1,"Caserta, Campania, Italy",Male
Pippo Delbono,https://www.imdb.com/search/name/?name=Pippo%20Delbono,/name/nm2647632/?ref_=sr_t_1,,Unknown
Pirjo Honkasalo,https://www.imdb.com/search/name/?name=Pirjo%20Honkasalo,/name/nm0393345/?ref_=sr_t_1,"Helsinki, Finland",Female
Quentin Tarantino,https://www.imdb.com/search/name/?name=Quentin%20Tarantino,/name/nm0000233/?ref_=sr_t_1,"Knoxville, Tennessee, USA",Unknown
Raam Reddy,https://www.imdb.com/search/name/?name=Raam%20Reddy,/name/nm5339365/?ref_=sr_t_1,,Male
Rachid Bouchareb,https://www.imdb.com/search/name/?name=Rachid%20Bouchareb,/name/nm0098953/?ref_=sr_t_1,"Paris, France",Male
Rajat Kapoor,https://www.imdb.com/search/name/?name=Rajat%20Kapoor,/name/nm0438494/?ref_=sr_t_1,"New Delhi, India",Male
Ramin Bahrani,https://www.imdb.com/search/name/?name=Ramin%20Bahrani,/name/nm1023919/?ref_=sr_t_1,"North Carolina, USA",Male
Raoul Peck,https://www.imdb.com/search/name/?name=Raoul%20Peck,/name/nm0669704/?ref_=sr_t_1,,Male
Raoul Ruiz,https://www.imdb.com/search/name/?name=Raoul%20Ruiz,https://slyb.app.link/vtz1COZnXAb,,Unknown
Rehad Desai,https://www.imdb.com/search/name/?name=Rehad%20Desai,/name/nm2390834/?ref_=sr_t_1,,Unknown
Rian Johnson,https://www.imdb.com/search/name/?name=Rian%20Johnson,/name/nm0426059/?ref_=sr_t_1,"Silver Spring, Maryland, USA",Male
Richard Curtis,https://www.imdb.com/search/name/?name=Richard%20Curtis,/name/nm0193485/?ref_=sr_t_1,"Wellington, New Zealand",Male
Richard Kelly,https://www.imdb.com/search/name/?name=Richard%20Kelly,/name/nm0446819/?ref_=sr_t_1,"Newport News, Virginia, USA",Male
Richard Linklater,https://www.imdb.com/search/name/?name=Richard%20Linklater,/name/nm0000500/?ref_=sr_t_1,"Houston, Texas, USA",Male
Rick Alverson,https://www.imdb.com/search/name/?name=Rick%20Alverson,/name/nm3687830/?ref_=sr_t_1,"Spokane, Washington, USA",Male
Ridley Scott,https://www.imdb.com/search/name/?name=Ridley%20Scott,/name/nm0000631/?ref_=sr_t_1,"South Shields, County Durham, England, UK",Unknown
Rita Azevedo Gomes,https://www.imdb.com/search/name/?name=Rita%20Azevedo%20Gomes,/name/nm0326946/?ref_=sr_t_1,,Unknown
Rob Marshall,https://www.imdb.com/search/name/?name=Rob%20Marshall,/name/nm0551128/?ref_=sr_t_1,"Madison, Wisconsin, USA",Male
Robert Altman,https://www.imdb.com/search/name/?name=Robert%20Altman,/name/nm0000265/?ref_=sr_t_1,"Kansas City, Missouri, USA",Male
Robert Greene,https://www.imdb.com/search/name/?name=Robert%20Greene,/name/nm1914992/?ref_=sr_t_1,"Charlotte, North Carolina, USA",Male
Robert Pulcini,https://www.imdb.com/search/name/?name=Robert%20Pulcini,/name/nm0700301/?ref_=sr_t_1,"New York City, New York, USA",Male
Robert Zemeckis,https://www.imdb.com/search/name/?name=Robert%20Zemeckis,/name/nm0000709/?ref_=sr_t_1,"Chicago, Illinois, USA",Unknown
Roberto Benigni,https://www.imdb.com/search/name/?name=Roberto%20Benigni,/name/nm0000905/?ref_=sr_t_1,"Manciano La Misericordia, Castiglion Fiorentino, Tuscany, Italy",Male
Roman Polanski,https://www.imdb.com/search/name/?name=Roman%20Polanski,/name/nm0000591/?ref_=sr_t_1,"Paris, France",Male
Ronit Elkabetz,https://www.imdb.com/search/name/?name=Ronit%20Elkabetz,/name/nm0253813/?ref_=sr_t_1,"Beersheba, Israel",Female
Roy Andersson,https://www.imdb.com/search/name/?name=Roy%20Andersson,/name/nm0027815/?ref_=sr_t_1,"Gothenburg, Västra Götalands län, Sweden",Male
Royston Tan,https://www.imdb.com/search/name/?name=Royston%20Tan,/name/nm0848892/?ref_=sr_t_1,Singapore,Male
Ryan Coogler,https://www.imdb.com/search/name/?name=Ryan%20Coogler,/name/nm3363032/?ref_=sr_t_1,"Oakland, California, USA",Male
S. Craig Zahler,https://www.imdb.com/search/name/?name=S.%20Craig%20Zahler,/name/nm0951975/?ref_=sr_t_1,"Miami, Florida, USA",Male
Sam Mendes,https://www.imdb.com/search/name/?name=Sam%20Mendes,/name/nm0005222/?ref_=sr_t_1,"Reading, Berkshire, England, UK",Male
Sam Raimi,https://www.imdb.com/search/name/?name=Sam%20Raimi,/name/nm0000600/?ref_=sr_t_1,"Royal Oak, Michigan, USA",Unknown
Samba Gadjigo,https://www.imdb.com/search/name/?name=Samba%20Gadjigo,/name/nm7046188/?ref_=sr_t_1,,Unknown
Sara Fattahi,https://www.imdb.com/search/name/?name=Sara%20Fattahi,/name/nm7986571/?ref_=sr_t_1,,Unknown
Sarah Polley,https://www.imdb.com/search/name/?name=Sarah%20Polley,/name/nm0001631/?ref_=sr_t_1,"Toronto, Ontario, Canada",Unknown
Satoshi Kon,https://www.imdb.com/search/name/?name=Satoshi%20Kon,/name/nm0464804/?ref_=sr_t_1,"Sapporo, Hokkaido, Japan",Male
Scandar Copti,https://www.imdb.com/search/name/?name=Scandar%20Copti,/name/nm2738713/?ref_=sr_t_1,,Male
Sean Baker,https://www.imdb.com/search/name/?name=Sean%20Baker,/name/nm0048918/?ref_=sr_t_1,,Male
Seth Rogen,https://www.imdb.com/search/name/?name=Seth%20Rogen,/name/nm0736622/?ref_=sr_t_1,"Vancouver, British Columbia, Canada",Male
Shane Black,https://www.imdb.com/search/name/?name=Shane%20Black,/name/nm0000948/?ref_=sr_t_1,"Pittsburgh, Pennsylvania, USA",Unknown
Shane Carruth,https://www.imdb.com/search/name/?name=Shane%20Carruth,/name/nm1503403/?ref_=sr_t_1,,Unknown
Shane Meadows,https://www.imdb.com/search/name/?name=Shane%20Meadows,/name/nm0276349/?ref_=sr_t_1,"Uttoxeter, Staffordshire, England, UK",Male
Shari Springer Berman,https://www.imdb.com/search/name/?name=Shari%20Springer%20Berman,/name/nm0075849/?ref_=sr_t_1,"New York City, New York, USA",Female
Shimit Amin,https://www.imdb.com/search/name/?name=Shimit%20Amin,/name/nm0024912/?ref_=sr_t_1,,Male
Shlomi Elkabetz,https://www.imdb.com/search/name/?name=Shlomi%20Elkabetz,/name/nm1729095/?ref_=sr_t_1,"Beersheba, Israel",Male
Sidney Lumet,https://www.imdb.com/search/name/?name=Sidney%20Lumet,/name/nm0001486/?ref_=sr_t_1,"Philadelphia, Pennsylvania, USA",Male
Sion Sono,https://www.imdb.com/search/name/?name=Sion%20Sono,/name/nm0814469/?ref_=sr_t_1,"Toyokawa, Aichi, Japan",Male
Sofia Coppola,https://www.imdb.com/search/name/?name=Sofia%20Coppola,/name/nm0001068/?ref_=sr_t_1,"New York City, New York, USA",Female
Spike Jonze,https://www.imdb.com/search/name/?name=Spike%20Jonze,/name/nm0005069/?ref_=sr_t_1,"Rockville, Maryland, USA",Unknown
Spike Lee,https://www.imdb.com/search/name/?name=Spike%20Lee,/name/nm0000490/?ref_=sr_t_1,"Atlanta, Georgia, USA",Male
Stephanie Spray,https://www.imdb.com/search/name/?name=Stephanie%20Spray,/name/nm5856477/?ref_=sr_t_1,,Unknown
Stephen Chow,https://www.imdb.com/search/name/?name=Stephen%20Chow,/name/nm0159507/?ref_=sr_t_1,Hong Kong,Male
Stephen Daldry,https://www.imdb.com/search/name/?name=Stephen%20Daldry,/name/nm0197636/?ref_=sr_t_1,"Dorset, England, UK",Male
Stephen Frears,https://www.imdb.com/search/name/?name=Stephen%20Frears,/name/nm0001241/?ref_=sr_t_1,"Leicester, Leicestershire, England, UK",Male
Stevan Riley,https://www.imdb.com/search/name/?name=Stevan%20Riley,/name/nm2257147/?ref_=sr_t_1,,Unknown
Steve McQueen,https://www.imdb.com/search/name/?name=Steve%20McQueen,/name/nm2588606/?ref_=sr_t_1,"London, England, UK",Male
Steven Knight,https://www.imdb.com/search/name/?name=Steven%20Knight,/name/nm1140275/?ref_=sr_t_1,"Marlborough, England, UK",Male
Steven Soderbergh,https://www.imdb.com/search/name/?name=Steven%20Soderbergh,/name/nm0001752/?ref_=sr_t_1,"Atlanta, Georgia, USA",Unknown
Steven Spielberg,https://www.imdb.com/search/name/?name=Steven%20Spielberg,/name/nm0000229/?ref_=sr_t_1,"Cincinnati, Ohio, USA",Male
Sudhir Mishra,https://www.imdb.com/search/name/?name=Sudhir%20Mishra,/name/nm0592803/?ref_=sr_t_1,"Lucknow, Uttar Pradesh, India",Male
Susanne Bier,https://www.imdb.com/search/name/?name=Susanne%20Bier,/name/nm0081540/?ref_=sr_t_1,"Copenhagen, Denmark",Female
Takahisa Zeze,https://www.imdb.com/search/name/?name=Takahisa%20Zeze,/name/nm0955270/?ref_=sr_t_1,"Matama, Ôita, Japan [now Bungotakada, Ôita, Japan]",Male
Takeshi Kitano,https://www.imdb.com/search/name/?name=Takeshi%20Kitano,/name/nm0001429/?ref_=sr_t_1,"Tokyo, Japan",Male
Tan Pin Pin,https://www.imdb.com/search/name/?name=Tan%20Pin%20Pin,/name/nm2566810/?ref_=sr_t_1,,Female
Terence Davies,https://www.imdb.com/search/name/?name=Terence%20Davies,/name/nm0203993/?ref_=sr_t_1,"Liverpool, England, UK",Male
Terrence Malick,https://www.imdb.com/search/name/?name=Terrence%20Malick,/name/nm0000517/?ref_=sr_t_1,"Ottawa, Illinois, USA",Male
Terry George,https://www.imdb.com/search/name/?name=Terry%20George,/name/nm0313623/?ref_=sr_t_1,"Belfast, Northern Ireland, UK",Male
Terry Zwigoff,https://www.imdb.com/search/name/?name=Terry%20Zwigoff,/name/nm0959062/?ref_=sr_t_1,"Appleton, Wisconsin, USA",Male
Thom Andersen,https://www.imdb.com/search/name/?name=Thom%20Andersen,/name/nm0026263/?ref_=sr_t_1,,Male
Thomas Vinterberg,https://www.imdb.com/search/name/?name=Thomas%20Vinterberg,/name/nm0899121/?ref_=sr_t_1,"Copenhagen, Denmark",Unknown
Tigmanshu Dhulia,https://www.imdb.com/search/name/?name=Tigmanshu%20Dhulia,/name/nm0223606/?ref_=sr_t_1,"Allahabad, Uttar Pradesh, India",Male
Todd Haynes,https://www.imdb.com/search/name/?name=Todd%20Haynes,/name/nm0001331/?ref_=sr_t_1,"Los Angeles, California, USA",Male
Tom Ford,https://www.imdb.com/search/name/?name=Tom%20Ford,/name/nm1053530/?ref_=sr_t_1,"Austin, Texas, USA",Male
Tom Hooper,https://www.imdb.com/search/name/?name=Tom%20Hooper,/name/nm0393799/?ref_=sr_t_1,"London, England, UK",Male
Tom McCarthy,https://www.imdb.com/search/name/?name=Tom%20McCarthy,/name/nm0565336/?ref_=sr_t_1,"New Providence, New Jersey, USA",Male
Tom McGrath,https://www.imdb.com/search/name/?name=Tom%20McGrath,/name/nm0569891/?ref_=sr_t_1,"Lynnwood, Washington, USA",Male
Tomas Alfredson,https://www.imdb.com/search/name/?name=Tomas%20Alfredson,/name/nm0019247/?ref_=sr_t_1,"Lidingö, Stockholms län, Sweden",Male
Tomm Moore,https://www.imdb.com/search/name/?name=Tomm%20Moore,/name/nm1119079/?ref_=sr_t_1,"Newry, Northern Ireland, UK",Male
Tommy Lee Jones,https://www.imdb.com/search/name/?name=Tommy%20Lee%20Jones,/name/nm0000169/?ref_=sr_t_1,"San Saba, Texas, USA",Male
Tony Gilroy,https://www.imdb.com/search/name/?name=Tony%20Gilroy,/name/nm0006904/?ref_=sr_t_1,"Manhattan, New York City, New York, USA",Unknown
Tony Scott,https://www.imdb.com/search/name/?name=Tony%20Scott,/name/nm0001716/?ref_=sr_t_1,"North Shields, Northumberland, England, UK",Male
Travis Wilkerson,https://www.imdb.com/search/name/?name=Travis%20Wilkerson,/name/nm1288933/?ref_=sr_t_1,,Male
Trey Parker,https://www.imdb.com/search/name/?name=Trey%20Parker,/name/nm0005295/?ref_=sr_t_1,"Conifer, Colorado, USA",Unknown
Tsai Ming-liang,https://www.imdb.com/search/name/?name=Tsai%20Ming-liang,/name/nm0158857/?ref_=sr_t_1,"Kuching, Sarawak, Malaysia",Male
Uli Edel,https://www.imdb.com/search/name/?name=Uli%20Edel,/name/nm0248942/?ref_=sr_t_1,"Neuenburg am Rhein, Germany",Male
Ulrich Seidl,https://www.imdb.com/search/name/?name=Ulrich%20Seidl,/name/nm0782430/?ref_=sr_t_1,"Vienna, Austria",Male
Valeska Grisebach,https://www.imdb.com/search/name/?name=Valeska%20Grisebach,/name/nm1007136/?ref_=sr_t_1,"Bremen, West Germany [now Germany]",Female
Verena Paravel,https://www.imdb.com/search/name/?name=Verena%20Paravel,/name/nm4045090/?ref_=sr_t_1,,Unknown
Vicky Jenson,https://www.imdb.com/search/name/?name=Vicky%20Jenson,/name/nm0421776/?ref_=sr_t_1,,Female
Vikramaditya Motwane,https://www.imdb.com/search/name/?name=Vikramaditya%20Motwane,/name/nm0003939/?ref_=sr_t_1,"Bombay, India",Unknown
Vincent Paronnaud,https://www.imdb.com/search/name/?name=Vincent%20Paronnaud,/name/nm1749112/?ref_=sr_t_1,,Male
Vishal Bhardwaj,https://www.imdb.com/search/name/?name=Vishal%20Bhardwaj,/name/nm0080235/?ref_=sr_t_1,"Chandpur, Bijnor, Uttar Pradesh, India",Male
Víctor Erice,https://www.imdb.com/search/name/?name=Víctor%20Erice,/name/nm0258977/?ref_=sr_t_1,"Karrantza, Vizcaya, País Vasco, Spain",Male
Víctor Gaviria,https://www.imdb.com/search/name/?name=Víctor%20Gaviria,/name/nm0310597/?ref_=sr_t_1,"Medellin, Colombia",Unknown
Wang Bing,https://www.imdb.com/search/name/?name=Wang%20Bing,/name/nm1504063/?ref_=sr_t_1,"Xi'an, Shaanxi, China",Male
Warwick Thornton,https://www.imdb.com/search/name/?name=Warwick%20Thornton,/name/nm0861610/?ref_=sr_t_1,"Alice Springs, Northern Territory, Australia",Male
Wayne Blair,https://www.imdb.com/search/name/?name=Wayne%20Blair,/name/nm0992370/?ref_=sr_t_1,"Taree, New South Wales, Australia",Male
Werner Herzog,https://www.imdb.com/search/name/?name=Werner%20Herzog,/name/nm0001348/?ref_=sr_t_1,"Munich, Bavaria, Germany",Male
Wes Anderson,https://www.imdb.com/search/name/?name=Wes%20Anderson,/name/nm0027572/?ref_=sr_t_1,"Houston, Texas, USA",Male
Whit Stillman,https://www.imdb.com/search/name/?name=Whit%20Stillman,/name/nm0001775/?ref_=sr_t_1,"Washington, District of Columbia, USA",Male
Wolfgang Becker,https://www.imdb.com/search/name/?name=Wolfgang%20Becker,/name/nm0065615/?ref_=sr_t_1,"Hemer, North Rhine-Westphalia, Germany",Male
Wong Kar-wai,https://www.imdb.com/search/name/?name=Wong%20Kar-wai,/name/nm0939182/?ref_=sr_t_1,"Shanghai, China",Male
Woody Allen,https://www.imdb.com/search/name/?name=Woody%20Allen,/name/nm0000095/?ref_=sr_t_1,"Bronx, New York City, New York, USA",Unknown
Xavier Beauvois,https://www.imdb.com/search/name/?name=Xavier%20Beauvois,/name/nm0064741/?ref_=sr_t_1,"Auchel, Pas-de-Calais, France",Male
Xavier Dolan,https://www.imdb.com/search/name/?name=Xavier%20Dolan,/name/nm0230859/?ref_=sr_t_1,"Montreal, Quebec, Canada",Male
Yann Arthus-Bertrand,https://www.imdb.com/search/name/?name=Yann%20Arthus-Bertrand,/name/nm0037867/?ref_=sr_t_1,"Paris, France",Male
Yaron Shani,https://www.imdb.com/search/name/?name=Yaron%20Shani,/name/nm1760871/?ref_=sr_t_1,,Male
Yervant Gianikian,https://www.imdb.com/search/name/?name=Yervant%20Gianikian,/name/nm0316214/?ref_=sr_t_1,,Male
Yorgos Lanthimos,https://www.imdb.com/search/name/?name=Yorgos%20Lanthimos,/name/nm0487166/?ref_=sr_t_1,"Athens, Greece",Male
Zhang Yimou,https://www.imdb.com/search/name/?name=Zhang%20Yimou,/name/nm0955443/?ref_=sr_t_1,"Xi'an, Shaanxi, China",Male
Ágnes Hranitzky,https://www.imdb.com/search/name/?name=Ágnes%20Hranitzky,/name/nm0398555/?ref_=sr_t_1,"Derecske, Hungary",Female
Éric Rohmer,https://www.imdb.com/search/name/?name=Éric%20Rohmer,/name/nm0006445/?ref_=sr_t_1,"Tulle, Corrèze, France",Unknown
